Name,Field(s),Date,Notes,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Tags
Tamsin Edwards,climate scientist,,climate scientist,,,,,"Environmental Science, Materials Science"
Hayley Fowler,Other,,research focused on climate change and variability on hydrological and water resource systems,,,,,"Earth Science, Environmental Science, Materials Science"
Katharine Giles,Other,,ocean circulation and wind patterns,,,,,other
Jean Grove,Other,,,,,,,other
Joanna Haigh,Other,,Co-Director of Grantham Institute at Imperial College London,,,,,other
Gabriele C. Hegerl,Other,1962.0,,,,,,other
Helene Hewitt,Other,,Met Office researcher on ocean modeling,,,,,other
Ellie Highwood,professor,,Professor of Climate Physics at the University of Reading,,,,,"Physics, Environmental Science, Materials Science"
Joanne Johnson,Other,1977.0,Antarctic scientist,,,,,other
Caroline King-Okumu,Other,,researcher focusing on dryland ecosystems,,,,,"Biology, Environmental Science"
Rachel Kyte,Other,,international strategist on sustainable energy,,,,,other
Sonya Legg,Oceanographer,,oceanographer studying ocean circulation processes,,,,,other
Diana Liverman,Other,1954.0,vulnerability and policy,,,,,other
Georgina Mace,Other,,,,,,,other
Barbara Maher,Other,1960.0,,,,,,other
Stephanie Peay,Other,1959.0,,,,,,other
Vicky Pope,Other,,Head of the Climate Prediction Programme at the Hadley Centre for Climate Prediction and Research,,,,,"Environmental Science, Materials Science"
Paula Reimer,Other,,radiocarbon and archaeological scientist at the 14Chrono Centre for Climate,,,,,"Environmental Science, Materials Science"
Emily Shuckburgh,climate scientist,,climate scientist,,,,,"Environmental Science, Materials Science"
Liz Thomas,Other,,paleoclimatologist,,,,,"Earth Science, Environmental Science, Materials Science"
United States,Other,,,,,,,other
Rachel Carson,"conservationist, Marine Biologist, biologist",,American marine biologist and conservationist,,,,,"Chemistry, Biology"
Lydia Adams-Williams,Other,,,,,,,other
Alice Alldredge,Other,1949.0,,snow,and,demersal,zooplankton,other
Tanya Atwater,Other,1942.0,,,,,,other
Thelma Babbitt,Other,,,,,,,other
Sallie Baliunas,Other,1953.0,,,,,,other
Lisa Beal,Oceanographer,,British-born oceanographer investigating the Agulhas current,,,,,Medicine
Barbara Bell,Other,,,,,,,other
Abigail Borah,Activist,,environmental activist,,,,,"Engineering, Environmental Science"
Florence Elfelt Bramhall,Other,,,,,,,other
Emma Lucy Braun,"Ecologist, academic",,ecologist and academic,,,,,"Medicine, Biology, Environmental Science"
Margaret Bryan Davis,Other,1931.0,,,,,,other
Molly Burhans,Other,1989.0,,,,,,other
Elizabeth Canuel,Oceanographer,,chemical oceanographer investigating organic carbon cycling,,,,,"Engineering, Chemistry"
Rachel Carson,Other,,,,,,,other
Jeannine Cavender-Bares,Other,2000.0,,,,,,other
Danielle Claar,Other,,marine scientist studying effect of climate on coral symbionts and parasites,,,,,"Chemistry, Biology, Environmental Science, Materials Science"
Amy C. Clement,Other,,atmospheric and marine scientist modelling climate change,,,,,"Earth Science, Environmental Science, Materials Science"
Kim Cobb,Other,1974.0,,,,,,other
Lisa Goddard,Other,,,,,,,other
Emma Cole,Other,,,,,,,other
Maureen Conte,"chemist, Biogeochemist",,biogeochemist studying long-term cycling of chemical compounds in seawater,,,,,"Engineering, Earth Science, Chemistry, Biology, Mathematics, Computer Science, Materials Science"
Allison Crimmins,Other,,head of the National Climate Assessment,,,,,"Environmental Science, Materials Science"
Heidi Cullen,Meteorologist,,meteorologist,,,,,other
Judith Curry,Other,,climatologist and former chair of the School of Earth and Atmospheric Sciences at the Georgia Institute of Technology,,,,,"Earth Science, Mathematics, Environmental Science, Materials Science"
Rosanne D'Arrigo,Other,,climate researcher using dendrochronology,,,,,"Environmental Science, Materials Science"
Kendra Daly,Oceanographer,,oceanographer specializing in zooplankton,,,,,other
Violet Dandridge,Other,,,,,,,other
Lesley-Ann L. Dupigny-Giroux,Geographer,,Trinidad-born geographer and climate researcher,,,,,"Earth Science, Mathematics, Environmental Science, Materials Science"
Sylvia Earle,Other,1935.0,,,,,,other
Erika Edwards,Other,,researcher focusing on the evolution of plants,,,,,other
Jane Fonda,Environmentalist,1937.0,feminist and environmentalist,,,,,"Engineering, Environmental Science"
Eunice Newton Foote,Other,,,,,,,other
Grace Voss Frederick,Other,,,,,,,other
Daphne Frias,Other,1998.0,climate change and environmental and disability justice,,,,,"Engineering, Environmental Science, Materials Science"
Inez Fung,Other,1949.0,biogeochemical cycles,,,,,"Engineering, Earth Science, Chemistry, Biology, Mathematics"
Niria Alicia Garcia,Other,1993.0,,,,,,other
Pat Gozemba,Other,1940.0,,,,,,other
Marika Holland,Other,,scientist working on sea ice modelling,,,,,other
Alice Clary Earle Hyde,Other,,,,,,,other
Deborah Jacobvitz,Ecologist,,ecologist,,,,,"Medicine, Biology, Environmental Science"
Frances James,Other,1930.0,,,,,,other
Gretchen Keppel-Aleks,climate scientist,,climate scientist researching greenhouse gases,,,,,"Environmental Science, Materials Science"
Caroline Ella Heminway Kierstead,Other,,,,,,,other
Bronwen Konecky,Other,,climatologist focusing on climate change in the tropics,,,,,"Environmental Science, Materials Science"
Winona LaDuke,Other,1959.0,,,,,,other
Estella Leopold,Other,1927.0,,,,,,other
Beate G. Liepert,Research Scientist,,research scientist focusing on climate variability,,,,,"Environmental Science, Materials Science"
Lorraine Lisiecki,Other,,paleoclimatologist studying the history of climate change,,,,,"Earth Science, Environmental Science, Materials Science"
Hunter Lovins,Other,1950.0,,,,,,other
Jane Lubchenco,Other,1947.0,,,,,,other
Cherilla Storrs Lowrey,Other,,Hawaii's oldest environmental organization,,,,,"Engineering, Chemistry, Environmental Science"
Kate Marvel,climate scientist,,climate scientist,,,,,"Environmental Science, Materials Science"
Galen McKinley,Other,,carbon cycle researcher,,,,,other
Marcia McNutt,Other,1952.0,president of the National Academy of Sciences,,,,,other
Linda Mearns,"Geologist, climate scientist",,geologist and climate scientist specializing in climate change assessment,,,,,"Earth Science, Mathematics, Environmental Science, Materials Science"
Susanne Menden-Deuer,Other,2000.0,,,,,,other
Jill Mikucki,"Microbiologist, biologist",,microbiologist,,,,,"Chemistry, Biology"
Twila Moon,Other,,scientist researching the Greenland ice sheet,,,,,other
Marianne V. Moore,Ecologist,,aquatic ecologist,,,,,"Medicine, Biology, Environmental Science"
Sue Moore,Oceanographer,,Arctic oceanographer studying whales,,,,,other
Ann Haven Morgan,Other,,,,,,,other
Margaret Mulholland,Oceanographer,,oceanographer studying nutrients in marine environments,,,,,Environmental Science
Alison Murray,"chemist, Biochemist",,biochemist,,,,,"Chemistry, Biology"
Margaret Nygard,Other,,,,,,,other
Karen Oberhauser,Other,1956.0,,,,,,other
Kittie Fenley Parker,Other,,,,,,,other
Mary Peltola,Other,1999.0,,,,,,other
Elsie Quarterman,Other,,,,,,,other
Marilyn Raphael,Other,,Trinidad-born climate change scientist working on polar research,,,,,"Environmental Science, Materials Science"
Cicely Ridley,Other,,,,,,,other
Edith A. Roberts,Other,,,,,,,other
Gabrielle Rocap,Other,1971.0,,,,,,other
Joan Roughgarden,Other,1946.0,,,,,,other
Cynthia E. Rosenzweig,Other,1958.0,pioneered the study of climate change and agriculture,,,,,"Environmental Science, Materials Science"
Joellen Louise Russell,Other,1970.0,,,,,,other
Tatiana Rynearson,Oceanographer,,oceanographer studying plankton diversity,,,,,other
Eva Saulitis,Other,,,,,,,other
Sybil P. Seitzinger,"climate scientist, Oceanographer",,oceanographer and climate scientist researching climate change and elemental cycling,,,,,"Environmental Science, Materials Science"
Susan Solomon,Other,1956.0,,,,,,other
Margaret Sordahl,Other,,,,,,,other
Lynne Talley,"climate scientist, Oceanographer",,oceanographer and climate scientist at Scripps Institution of Oceanography,,,,,"Environmental Science, Materials Science"
Elizabeth Teter Lunn,Other,,,,,,,other
Ellen Thomas,Other,1950.0,,,,,,other
Anne M. Thompson,chemist,,specialist in atmospheric chemistry and climate change,,,,,"Earth Science, Chemistry, Environmental Science, Materials Science"
LuAnne Thompson,Oceanographer,,oceanographer modeling movement of heat and chemical via ocean currents,,,,,"Medicine, Engineering, Chemistry"
Vivian Thomson,Other,1997.0,,,,,,other
Maya Tolstoy,Physicist,,marine geophysicist investigating earthquakes in the deep sea,,,,,"Earth Science, Mathematics, Physics"
Susan Trumbore,Other,,earth systems scientist focusing on the carbon cycle and its effects on climate,,,,,"Earth Science, Environmental Science, Materials Science"
Monica Turner,Other,1980.0,,,,,,other
Julienne Stroeve,climate scientist,,polar climate scientist working on the remote sensing of ice and snow,,,,,"Environmental Science, Materials Science"
Carol Van Strum,Other,1940.0,,,,,,other
Betsy Weatherhead,Other,,former head of the National Climate Assessment,,,,,"Environmental Science, Materials Science"
Rebecca Woodgate,Oceanographer,,oceanographer working on ocean circulation in polar regions,,,,,other
Kakani Katija Young,Other,,bioengineer focusing on marine organisms,,,,,"Engineering, Chemistry, Biology"
Linda Zall,Environmental Scientist,,environmental scientist specializing in satellite data,,,,,"Engineering, Computer Science, Environmental Science"
Joy Zedler,Other,1943.0,,,,,,other
Uganda,Other,,,,,,,other
Ugandan activist Vanessa Nakate,Other,,,,,,,other
Vanessa Nakate,Other,1996.0,,,,,,other
Uruguay,Other,,,,,,,other
Lucrecia Covelo,Other,,,,,,,other
Vanuatu,Other,,,,,,,other
Litiana Kalsrap,Other,1992.0,,,,,,other
Vietnam,Other,,,,,,,other
Hoang Thi Than,Archaeologist,,geological engineer and archaeologist,,,,,"Engineering, Earth Science, Mathematics"
